1. @darf > 51.0(102 loves, 2 posts)
2. @imadeanaccount > 33.17(199 loves, 6 posts)
3. @evilsouple > 20.5(41 loves, 2 posts)
4. @jinx_fan_999 > 17.0(34 loves, 2 posts)
5. @azinox > 15.33(46 loves, 3 posts)
6. @diamondfurry4271 > 12.8(64 loves, 5 posts)
7. @tnix > 12.0(12 loves, 1 posts)
8. @99 > 10.5(21 loves, 2 posts)
9. @floppayes > 10.0(30 loves, 3 posts)
10. @jeffalo > 10.0(10 loves, 1 posts)
11. @papermariofan > 9.89(277 loves, 28 posts)
12. @juancolacelli > 9.89(89 loves, 9 posts)
13. @souple > 9.74(760 loves, 78 posts)
14. @k10398 > 9.33(28 loves, 3 posts)
15. @redstrider > 9.0(9 loves, 1 posts)
16. @yu > 9.0(18 loves, 2 posts)
17. @ljxa > 8.75(175 loves, 20 posts)
18. @gamerlogan819 > 8.5(34 loves, 4 posts)
19. @zagyen8913 > 8.5(17 loves, 2 posts)
20. @pixilized > 8.36(92 loves, 11 posts)
21. @solitaire > 8.0(8 loves, 1 posts)
22. @as > 8.0(8 loves, 1 posts)
23. @flux > 8.0(24 loves, 3 posts)
24. @shqiper > 7.83(47 loves, 6 posts)
25. @magic > 7.5(15 loves, 2 posts)
26. @XD > 7.25(87 loves, 12 posts)
27. @darflen > 7.07(106 loves, 15 posts)
28. @scrouscrou > 7.0(7 loves, 1 posts)
29. @chip > 7.0(7 loves, 1 posts)
30. @Paradick > 7.0(7 loves, 1 posts)
31. @69 > 6.09(1224 loves, 201 posts)
32. @Sp > 6.0(12 loves, 2 posts)
33. @printer > 6.0(6 loves, 1 posts)
34. @orenl > 6.0(6 loves, 1 posts)
35. @followingyou > 6.0(12 loves, 2 posts)
36. @grapes > 5.74(568 loves, 99 posts)
37. @123 > 5.5(110 loves, 20 posts)
38. @bobinny > 5.5(33 loves, 6 posts)
39. @codyisthegoat > 5.5(11 loves, 2 posts)
40. @jcole > 5.49(1065 loves, 194 posts)
41. @yes > 5.0(5 loves, 1 posts)
42. @uszy > 5.0(5 loves, 1 posts)
43. @www > 5.0(10 loves, 2 posts)
44. @___ > 5.0(5 loves, 1 posts)
45. @judge2 > 5.0(5 loves, 1 posts)
46. @300 > 5.0(5 loves, 1 posts)
47. @kingbobvr > 5.0(5 loves, 1 posts)
48. @lime360 > 5.0(5 loves, 1 posts)
49. @test123 > 5.0(5 loves, 1 posts)
50. @test123 > 5.0(5 loves, 1 posts)
51. @notcheese > 5.0(5 loves, 1 posts)
52. @mrajr > 4.86(695 loves, 143 posts)
53. @paradocktest > 4.83(29 loves, 6 posts)
54. @aa > 4.8(24 loves, 5 posts)
55. @-- > 4.75(1669 loves, 351 posts)
56. @dev > 4.67(14 loves, 3 posts)
57. @s4il > 4.65(144 loves, 31 posts)
58. @yap > 4.62(37 loves, 8 posts)
59. @esben > 4.58(151 loves, 33 posts)
60. @wlodekm > 4.56(41 loves, 9 posts)
61. @radi8 > 4.33(52 loves, 12 posts)
62. @eulgeaternews > 4.33(13 loves, 3 posts)
63. @darkpet > 4.33(26 loves, 6 posts)
64. @lily > 4.3(43 loves, 10 posts)
65. @andy > 4.25(17 loves, 4 posts)
66. @Peter13 > 4.23(220 loves, 52 posts)
67. @lolz > 4.2(21 loves, 5 posts)
68. @you > 4.2(21 loves, 5 posts)
69. @stripes > 4.19(67 loves, 16 posts)
70. @rank50 > 4.0(4 loves, 1 posts)
71. @ze > 4.0(16 loves, 4 posts)
72. @ma > 4.0(8 loves, 2 posts)
73. @minershavenm43 > 4.0(32 loves, 8 posts)
74. @drake > 4.0(4 loves, 1 posts)
75. @snapshot > 4.0(12 loves, 3 posts)
76. @drakesboyfriend > 4.0(16 loves, 4 posts)
77. @scratch > 4.0(8 loves, 2 posts)
78. @yellowcatball > 4.0(4 loves, 1 posts)
79. @tk_kt > 4.0(4 loves, 1 posts)
80. @piecat > 4.0(16 loves, 4 posts)
81. @dog > 4.0(4 loves, 1 posts)
82. @darfmail > 4.0(8 loves, 2 posts)
83. @darfmail > 4.0(8 loves, 2 posts)
84. @scr4tch > 4.0(4 loves, 1 posts)
85. @griffpatch > 4.0(4 loves, 1 posts)
86. @huxvap > 4.0(4 loves, 1 posts)
87. @personwhocool > 4.0(12 loves, 3 posts)
88. @robwer2 > 3.89(35 loves, 9 posts)
89. @jamied132 > 3.74(684 loves, 183 posts)
90. @jamied132 > 3.74(684 loves, 183 posts)
91. @ll > 3.7(100 loves, 27 posts)
92. @conveniently_autistic > 3.69(48 loves, 13 posts)
93. @CodyIsTheBest > 3.67(11 loves, 3 posts)
94. @coolkat > 3.64(582 loves, 160 posts)
95. @paradock > 3.64(2687 loves, 739 posts)
96. @slider_on_the_black > 3.5(35 loves, 10 posts)
97. @yippymishy > 3.5(7 loves, 2 posts)
98. @joshatticus > 3.5(7 loves, 2 posts)
99. @qxva > 3.48(512 loves, 147 posts)
100. @firecat > 3.46(45 loves, 13 posts)
101. @100 > 3.4(17 loves, 5 posts)
102. @sirbob_ > 3.35(161 loves, 48 posts)
103. @cheesewhisk3rs > 3.35(3172 loves, 947 posts)
104. @blockcoin > 3.33(10 loves, 3 posts)
105. @salad > 3.33(10 loves, 3 posts)
106. @kanye > 3.3(99 loves, 30 posts)
107. @mill > 3.25(13 loves, 4 posts)
108. @kk > 3.23(42 loves, 13 posts)
109. @doinku > 3.22(29 loves, 9 posts)
110. @ScratchCat > 3.22(29 loves, 9 posts)
111. @kettlestudios > 3.2(16 loves, 5 posts)
112. @insertdiskettes > 3.2(48 loves, 15 posts)
113. @moderated_a6cf2 > 3.12(515 loves, 165 posts)
114. @jinx > 3.02(3157 loves, 1045 posts)
115. @gryffin > 3.0(3 loves, 1 posts)
116. @neonicig > 3.0(3 loves, 1 posts)
117. @gliczide > 3.0(18 loves, 6 posts)
118. @mf > 3.0(3 loves, 1 posts)
119. @zeno > 3.0(3 loves, 1 posts)
120. @__ > 3.0(3 loves, 1 posts)
